From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
O15534	O15534	reviewed	PER1_HUMAN	Period circadian protein homolog 1 (hPER1) (Circadian clock protein PERIOD 1) (Circadian pacemaker protein Rigui)	PER1 KIAA0482 PER RIGUI	Homo sapiens (Human)	1290
O15541	O15541	reviewed	R113A_HUMAN	E3 ubiquitin-protein ligase RNF113A (EC 2.3.2.27) (Cwc24 homolog) (RING finger protein 113A) (Zinc finger protein 183)	RNF113A RNF113 ZNF183	Homo sapiens (Human)	343
O15550	O15550	reviewed	KDM6A_HUMAN	Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A)	KDM6A UTX	Homo sapiens (Human)	1401
O15553	O15553	reviewed	MEFV_HUMAN	Pyrin (Marenostrin)	MEFV MEF TRIM20	Homo sapiens (Human)	781
O15554	O15554	reviewed	KCNN4_HUMAN	Intermediate conductance calcium-activated potassium channel protein 4 (SKCa 4) (SKCa4) (hSK4) (Gardos channel) (IKCa1) (hIK1) (KCa3.1) (Putative Gardos channel) (hKCa4)	KCNN4 IK1 IKCA1 KCA4 SK4	Homo sapiens (Human)	427
O43143	O43143	reviewed	DHX15_HUMAN	ATP-dependent RNA helicase DHX15 (EC 3.6.4.13) (ATP-dependent RNA helicase #46) (DEAH box protein 15) (Splicing factor Prp43) (hPrp43)	DHX15 DBP1 DDX15	Homo sapiens (Human)	795
O43148	O43148	reviewed	MCES_HUMAN	mRNA cap guanine-N(7) methyltransferase (EC 2.1.1.56) (RG7MT1) (mRNA (guanine-N(7))-methyltransferase) (mRNA cap methyltransferase) (hCMT1) (hMet) (hcm1p)	RNMT KIAA0398	Homo sapiens (Human)	476
O43151	O43151	reviewed	TET3_HUMAN	Methylcytosine dioxygenase TET3 (EC 1.14.11.80)	TET3 CXXC10 KIAA0401	Homo sapiens (Human)	1795
O43157	O43157	reviewed	PLXB1_HUMAN	Plexin-B1 (Semaphorin receptor SEP)	PLXNB1 KIAA0407 PLXN5 SEP	Homo sapiens (Human)	2135
O43159	O43159	reviewed	RRP8_HUMAN	Ribosomal RNA-processing protein 8 (EC 2.1.1.-) (Cerebral protein 1) (Nucleomethylin)	RRP8 KIAA0409 NML hucep-1	Homo sapiens (Human)	456
O43169	O43169	reviewed	CYB5B_HUMAN	Cytochrome b5 type B (Cytochrome b5 outer mitochondrial membrane isoform)	CYB5B CYB5M OMB5	Homo sapiens (Human)	150
O43172	O43172	reviewed	PRP4_HUMAN	U4/U6 small nuclear ribonucleoprotein Prp4 (PRP4 homolog) (hPrp4) (U4/U6 snRNP 60 kDa protein) (WD splicing factor Prp4)	PRPF4 PRP4	Homo sapiens (Human)	522
O43175	O43175	reviewed	SERA_HUMAN	D-3-phosphoglycerate dehydrogenase (3-PGDH) (EC 1.1.1.95) (2-oxoglutarate reductase) (EC 1.1.1.399) (Malate dehydrogenase) (EC 1.1.1.37)	PHGDH PGDH3	Homo sapiens (Human)	533
O43181	O43181	reviewed	NDUS4_HUMAN	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial (Complex I-18 kDa) (CI-18 kDa) (Complex I-AQDQ) (CI-AQDQ) (NADH-ubiquinone oxidoreductase 18 kDa subunit)	NDUFS4	Homo sapiens (Human)	175
O43187	O43187	reviewed	IRAK2_HUMAN	Interleukin-1 receptor-associated kinase-like 2 (IRAK-2)	IRAK2	Homo sapiens (Human)	625
O43193	O43193	reviewed	MTLR_HUMAN	Motilin receptor (G-protein coupled receptor 38)	MLNR GPR38 MTLR MTLR1	Homo sapiens (Human)	412
O43194	O43194	reviewed	GPR39_HUMAN	G-protein coupled receptor 39	GPR39	Homo sapiens (Human)	453
O43196	O43196	reviewed	MSH5_HUMAN	MutS protein homolog 5 (hMSH5)	MSH5	Homo sapiens (Human)	834
O43236-6	O43236-6	reviewed	SEPT4_HUMAN	Isoform ARTS of Septin-4 (Bradeion beta) (Brain protein H5) (CE5B3 beta) (Cell division control-related protein 2) (hCDCREL-2) (Peanut-like protein 2)	SEPTIN4 C17orf47 PNUTL2 SEP4 SEPT4 hucep-7	Homo sapiens (Human)	274
O43242	O43242	reviewed	PSMD3_HUMAN	26S proteasome non-ATPase regulatory subunit 3 (26S proteasome regulatory subunit RPN3) (26S proteasome regulatory subunit S3) (Proteasome subunit p58)	PSMD3	Homo sapiens (Human)	534
O43251	O43251	reviewed	RFOX2_HUMAN	RNA binding protein fox-1 homolog 2 (Fox-1 homolog B) (Hexaribonucleotide-binding protein 2) (RNA-binding motif protein 9) (RNA-binding protein 9) (Repressor of tamoxifen transcriptional activity)	RBFOX2 FOX2 HRNBP2 RBM9 RTA	Homo sapiens (Human)	390
O43252	O43252	reviewed	PAPS1_HUMAN	Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1 (PAPS synthase 1) (PAPSS 1) (Sulfurylase kinase 1) (SK 1) (SK1) [Includes: Sulfate adenylyltransferase (EC 2.7.7.4) (ATP-sulfurylase) (Sulfate adenylate transferase) (SAT); Adenylyl-sulfate kinase (EC 2.7.1.25) (3'-phosphoadenosine-5'-phosphosulfate synthase) (APS kinase) (Adenosine-5'-phosphosulfate 3'-phosphotransferase) (Adenylylsulfate 3'-phosphotransferase)]	PAPSS1 ATPSK1 PAPSS	Homo sapiens (Human)	624
O43255	O43255	reviewed	SIAH2_HUMAN	E3 ubiquitin-protein ligase SIAH2 (EC 2.3.2.27) (RING-type E3 ubiquitin transferase SIAH2) (Seven in absentia homolog 2) (Siah-2) (hSiah2)	SIAH2	Homo sapiens (Human)	324
O43264	O43264	reviewed	ZW10_HUMAN	Centromere/kinetochore protein zw10 homolog	ZW10	Homo sapiens (Human)	779
O43272	O43272	reviewed	PROD_HUMAN	Proline dehydrogenase 1, mitochondrial (EC 1.5.5.2) (Proline oxidase) (Proline oxidase 2) (p53-induced gene 6 protein)	PRODH PIG6 POX2 PRODH2	Homo sapiens (Human)	600
O43278	O43278	reviewed	SPIT1_HUMAN	Kunitz-type protease inhibitor 1 (Hepatocyte growth factor activator inhibitor type 1) (HAI-1)	SPINT1 HAI1 UNQ223/PRO256	Homo sapiens (Human)	529
O43280	O43280	reviewed	TREA_HUMAN	Trehalase (EC 3.2.1.28) (Alpha,alpha-trehalase) (Alpha,alpha-trehalose glucohydrolase)	TREH TREA	Homo sapiens (Human)	583
O43286	O43286	reviewed	B4GT5_HUMAN	Beta-1,4-galactosyltransferase 5 (Beta-1,4-GalTase 5) (Beta4Gal-T5) (b4Gal-T5) (EC 2.4.1.-) (Beta-1,4-GalT II) (Glucosylceramide beta-1,4-galactosyltransferase) (EC 2.4.1.274) (Lactosylceramide synthase) (LacCer synthase) (UDP-Gal:beta-GlcNAc beta-1,4-galactosyltransferase 5) (UDP-galactose:beta-N-acetylglucosamine beta-1,4-galactosyltransferase 5)	B4GALT5	Homo sapiens (Human)	388
O43290	O43290	reviewed	SNUT1_HUMAN	U4/U6.U5 tri-snRNP-associated protein 1 (SNU66 homolog) (hSnu66) (Squamous cell carcinoma antigen recognized by T-cells 1) (SART-1) (hSART-1) (U4/U6.U5 tri-snRNP-associated 110 kDa protein) (allergen Hom s 1)	SART1	Homo sapiens (Human)	800
O43292	O43292	reviewed	GPAA1_HUMAN	GPI-anchor transamidase component GPAA1 (GAA1 protein homolog) (hGAA1) (Glycosylphosphatidylinositol anchor attachment 1 protein) (GPI anchor attachment protein 1)	GPAA1 GAA1	Homo sapiens (Human)	621
O43301	O43301	reviewed	HS12A_HUMAN	Heat shock 70 kDa protein 12A (Heat shock protein family A member 12A)	HSPA12A KIAA0417	Homo sapiens (Human)	675
O43303	O43303	reviewed	CP110_HUMAN	Centriolar coiled-coil protein of 110 kDa (Centrosomal protein of 110 kDa) (CP110) (Cep110)	CCP110 CEP110 CP110 KIAA0419	Homo sapiens (Human)	1012
O43307	O43307	reviewed	ARHG9_HUMAN	Rho guanine nucleotide exchange factor 9 (Collybistin) (PEM-2 homolog) (Rac/Cdc42 guanine nucleotide exchange factor 9)	ARHGEF9 ARHDH9 KIAA0424	Homo sapiens (Human)	516
O43315	O43315	reviewed	AQP9_HUMAN	Aquaporin-9 (AQP-9) (Aquaglyceroporin-9) (Small solute channel 1)	AQP9 SSC1	Homo sapiens (Human)	295
O43316	O43316	reviewed	PAX4_HUMAN	Paired box protein Pax-4	PAX4	Homo sapiens (Human)	350
O43318	O43318	reviewed	M3K7_HUMAN	Mitogen-activated protein kinase kinase kinase 7 (EC 2.7.11.25) (Transforming growth factor-beta-activated kinase 1) (TGF-beta-activated kinase 1)	MAP3K7 TAK1	Homo sapiens (Human)	606
O43324	O43324	reviewed	MCA3_HUMAN	Eukaryotic translation elongation factor 1 epsilon-1 (Aminoacyl tRNA synthetase complex-interacting multifunctional protein 3) (Elongation factor p18) (Multisynthase complex auxiliary component p18)	EEF1E1 AIMP3 P18	Homo sapiens (Human)	174
O43353	O43353	reviewed	RIPK2_HUMAN	Receptor-interacting serine/threonine-protein kinase 2 (EC 2.7.11.1) (CARD-containing interleukin-1 beta-converting enzyme-associated kinase) (CARD-containing IL-1 beta ICE-kinase) (RIP-like-interacting CLARP kinase) (Receptor-interacting protein 2) (RIP-2) (Tyrosine-protein kinase RIPK2) (EC 2.7.10.2)	RIPK2 CARDIAK RICK RIP2 UNQ277/PRO314/PRO34092	Homo sapiens (Human)	540
O43390	O43390	reviewed	HNRPR_HUMAN	Heterogeneous nuclear ribonucleoprotein R (hnRNP R)	HNRNPR HNRPR	Homo sapiens (Human)	633
O43395	O43395	reviewed	PRPF3_HUMAN	U4/U6 small nuclear ribonucleoprotein Prp3 (Pre-mRNA-splicing factor 3) (hPrp3) (U4/U6 snRNP 90 kDa protein)	PRPF3 HPRP3 PRP3	Homo sapiens (Human)	683
O43435	O43435	reviewed	TBX1_HUMAN	T-box transcription factor TBX1 (T-box protein 1) (Testis-specific T-box protein)	TBX1	Homo sapiens (Human)	398
O43447	O43447	reviewed	PPIH_HUMAN	Peptidyl-prolyl cis-trans isomerase H (PPIase H) (EC 5.2.1.8) (Rotamase H) (Small nuclear ribonucleoprotein particle-specific cyclophilin H) (CypH) (U-snRNP-associated cyclophilin SnuCyp-20) (USA-CYP)	PPIH CYP20 CYPH	Homo sapiens (Human)	177
O43451	O43451	reviewed	MGA_HUMAN	Maltase-glucoamylase (Alpha-1,4-glucosidase) (EC 3.2.1.20)	MGAM MGA MGAML	Homo sapiens (Human)	2753
O43462	O43462	reviewed	MBTP2_HUMAN	Membrane-bound transcription factor site-2 protease (EC 3.4.24.85) (Endopeptidase S2P) (Sterol regulatory element-binding proteins intramembrane protease) (SREBPs intramembrane protease)	MBTPS2 S2P	Homo sapiens (Human)	519
O43463	O43463	reviewed	SUV91_HUMAN	Histone-lysine N-methyltransferase SUV39H1 (EC 2.1.1.-) (Histone H3-K9 methyltransferase 1) (H3-K9-HMTase 1) (Lysine N-methyltransferase 1A) (Position-effect variegation 3-9 homolog) (Suppressor of variegation 3-9 homolog 1) (Su(var)3-9 homolog 1)	SUV39H1 KMT1A SUV39H	Homo sapiens (Human)	412
O43464	O43464	reviewed	HTRA2_HUMAN	Serine protease HTRA2, mitochondrial (EC 3.4.21.108) (High temperature requirement protein A2) (HtrA2) (Omi stress-regulated endoprotease) (Serine protease 25) (Serine proteinase OMI)	HTRA2 OMI PRSS25	Homo sapiens (Human)	458
O43474	O43474	reviewed	KLF4_HUMAN	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)	KLF4 EZF GKLF	Homo sapiens (Human)	513
O43482	O43482	reviewed	MS18B_HUMAN	Protein Mis18-beta (Cancer/testis antigen 86) (CT86) (Opa-interacting protein 5) (OIP-5)	OIP5 MIS18B	Homo sapiens (Human)	229
O43488	O43488	reviewed	ARK72_HUMAN	Aflatoxin B1 aldehyde reductase member 2 (EC 1.1.1.n11) (AFB1 aldehyde reductase 1) (AFB1-AR 1) (Aldoketoreductase 7) (Succinic semialdehyde reductase) (SSA reductase)	AKR7A2 AFAR AFAR1 AKR7	Homo sapiens (Human)	359
O43502	O43502	reviewed	RA51C_HUMAN	DNA repair protein RAD51 homolog 3 (R51H3) (RAD51 homolog C) (RAD51-like protein 2)	RAD51C RAD51L2	Homo sapiens (Human)	376
O43504	O43504	reviewed	LTOR5_HUMAN	Ragulator complex protein LAMTOR5 (Hepatitis B virus X-interacting protein) (HBV X-interacting protein) (HBX-interacting protein) (Late endosomal/lysosomal adaptor and MAPK and MTOR activator 5)	LAMTOR5 HBXIP XIP	Homo sapiens (Human)	91
O43505	O43505	reviewed	B4GA1_HUMAN	Beta-1,4-glucuronyltransferase 1 (EC 2.4.1.-) (I-beta-1,3-N-acetylglucosaminyltransferase) (iGnT) (N-acetyllactosaminide beta-1,3-N-acetylglucosaminyltransferase) (Poly-N-acetyllactosamine extension enzyme) (UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 1)	B4GAT1 B3GNT1 B3GNT6	Homo sapiens (Human)	415
O43506	O43506	reviewed	ADA20_HUMAN	Disintegrin and metalloproteinase domain-containing protein 20 (ADAM 20) (EC 3.4.24.-)	ADAM20	Homo sapiens (Human)	726
O43508	O43508	reviewed	TNF12_HUMAN	Tumor necrosis factor ligand superfamily member 12 (APO3 ligand) (TNF-related weak inducer of apoptosis) (TWEAK) [Cleaved into: Tumor necrosis factor ligand superfamily member 12, membrane form; Tumor necrosis factor ligand superfamily member 12, secreted form]	TNFSF12 APO3L DR3LG UNQ181/PRO207	Homo sapiens (Human)	249
O43511	O43511	reviewed	S26A4_HUMAN	Pendrin (Sodium-independent chloride/iodide transporter) (Solute carrier family 26 member 4)	SLC26A4 PDS	Homo sapiens (Human)	780
O43513	O43513	reviewed	MED7_HUMAN	Mediator of RNA polymerase II transcription subunit 7 (hMED7) (Activator-recruited cofactor 34 kDa component) (ARC34) (Cofactor required for Sp1 transcriptional activation subunit 9) (CRSP complex subunit 9) (Mediator complex subunit 7) (RNA polymerase transcriptional regulation mediator subunit 7 homolog) (Transcriptional coactivator CRSP33)	MED7 ARC34 CRSP9	Homo sapiens (Human)	233
O43521	O43521	reviewed	B2L11_HUMAN	Bcl-2-like protein 11 (Bcl2-L-11) (Bcl2-interacting mediator of cell death)	BCL2L11 BIM	Homo sapiens (Human)	198
O43524	O43524	reviewed	FOXO3_HUMAN	Forkhead box protein O3 (AF6q21 protein) (Forkhead in rhabdomyosarcoma-like 1)	FOXO3 FKHRL1 FOXO3A	Homo sapiens (Human)	673
O43529	O43529	reviewed	CHSTA_HUMAN	Carbohydrate sulfotransferase 10 (EC 2.8.2.-) (HNK-1 sulfotransferase) (HNK-1ST) (HNK1ST) (HuHNK-1ST)	CHST10	Homo sapiens (Human)	356
O43542	O43542	reviewed	XRCC3_HUMAN	DNA repair protein XRCC3 (X-ray repair cross-complementing protein 3)	XRCC3	Homo sapiens (Human)	346
O43543	O43543	reviewed	XRCC2_HUMAN	DNA repair protein XRCC2 (X-ray repair cross-complementing protein 2)	XRCC2	Homo sapiens (Human)	280
O43548	O43548	reviewed	TGM5_HUMAN	Protein-glutamine gamma-glutamyltransferase 5 (EC 2.3.2.13) (Transglutaminase X) (TG(X)) (TGX) (TGase X) (Transglutaminase-5) (TGase-5)	TGM5 TGMX	Homo sapiens (Human)	720
O43557	O43557	reviewed	TNF14_HUMAN	Tumor necrosis factor ligand superfamily member 14 (Herpes virus entry mediator ligand) (HVEM-L) (Herpesvirus entry mediator ligand) (CD antigen CD258) [Cleaved into: Tumor necrosis factor ligand superfamily member 14, membrane form; Tumor necrosis factor ligand superfamily member 14, soluble form]	TNFSF14 HVEML LIGHT UNQ391/PRO726	Homo sapiens (Human)	240
O43561	O43561	reviewed	LAT_HUMAN	Linker for activation of T-cells family member 1 (36 kDa phosphotyrosine adapter protein) (pp36) (p36-38)	LAT	Homo sapiens (Human)	262
O43570	O43570	reviewed	CAH12_HUMAN	Carbonic anhydrase 12 (EC 4.2.1.1) (Carbonate dehydratase XII) (Carbonic anhydrase XII) (CA-XII) (Tumor antigen HOM-RCC-3.1.3)	CA12	Homo sapiens (Human)	354
O43586	O43586	reviewed	PPIP1_HUMAN	Proline-serine-threonine phosphatase-interacting protein 1 (PEST phosphatase-interacting protein 1) (CD2-binding protein 1) (H-PIP)	PSTPIP1 CD2BP1	Homo sapiens (Human)	416
O43597	O43597	reviewed	SPY2_HUMAN	Protein sprouty homolog 2 (Spry-2)	SPRY2	Homo sapiens (Human)	315
O43598	O43598	reviewed	DNPH1_HUMAN	5-hydroxymethyl-dUMP N-hydrolase (EC 3.2.2.-) (2'-deoxynucleoside 5'-phosphate N-hydrolase 1) (c-Myc-responsive protein RCL)	DNPH1 C6orf108 RCL	Homo sapiens (Human)	174
O43612	O43612	reviewed	OREX_HUMAN	Hypocretin neuropeptide precursor (Hypocretin) (Hcrt) (Orexin precursor) (Prepro-orexin) (Preprohypocretin) [Cleaved into: Orexin-A (Hypocretin-1) (Hcrt1); Orexin-B (Hypocretin-2) (Hcrt2)]	HCRT OX PPORX PPOX	Homo sapiens (Human)	131
O43613	O43613	reviewed	OX1R_HUMAN	Orexin/Hypocretin receptor type 1 (Hypocretin receptor type 1) (Orexin receptor type 1) (Ox-1-R) (Ox1-R) (Ox1R)	HCRTR1 ORXR1 OX1R OXR1	Homo sapiens (Human)	425
O43614	O43614	reviewed	OX2R_HUMAN	Orexin receptor type 2 (Ox-2-R) (Ox2-R) (Ox2R) (Hypocretin receptor type 2)	HCRTR2 ORXR2 OX2R OXR2	Homo sapiens (Human)	444
O43615	O43615	reviewed	TIM44_HUMAN	Mitochondrial import inner membrane translocase subunit TIM44	TIMM44 MIMT44 TIM44	Homo sapiens (Human)	452
O43617	O43617	reviewed	TPPC3_HUMAN	Trafficking protein particle complex subunit 3 (BET3 homolog)	TRAPPC3 BET3 CDABP0066	Homo sapiens (Human)	180
O43623	O43623	reviewed	SNAI2_HUMAN	Zinc finger protein SNAI2 (Neural crest transcription factor Slug) (Protein snail homolog 2)	SNAI2 SLUG SLUGH	Homo sapiens (Human)	268
O43633	O43633	reviewed	CHM2A_HUMAN	Charged multivesicular body protein 2a (Chromatin-modifying protein 2a) (CHMP2a) (Putative breast adenocarcinoma marker BC-2) (Vacuolar protein sorting-associated protein 2-1) (Vps2-1) (hVps2-1)	CHMP2A BC2 CHMP2	Homo sapiens (Human)	222
O43660	O43660	reviewed	PLRG1_HUMAN	Pleiotropic regulator 1	PLRG1	Homo sapiens (Human)	514
O43663	O43663	reviewed	PRC1_HUMAN	Protein regulator of cytokinesis 1	PRC1	Homo sapiens (Human)	620
O43674	O43674	reviewed	NDUB5_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 5, mitochondrial (Complex I-SGDH) (CI-SGDH) (NADH-ubiquinone oxidoreductase SGDH subunit)	NDUFB5	Homo sapiens (Human)	189
O43676	O43676	reviewed	NDUB3_HUMAN	NADH dehydrogenase [ubiquinone] 1 beta subcomplex subunit 3 (Complex I-B12) (CI-B12) (NADH-ubiquinone oxidoreductase B12 subunit)	NDUFB3	Homo sapiens (Human)	98
O43677	O43677	reviewed	NDUC1_HUMAN	NADH dehydrogenase [ubiquinone] 1 subunit C1, mitochondrial (Complex I-KFYI) (CI-KFYI) (NADH-ubiquinone oxidoreductase KFYI subunit)	NDUFC1	Homo sapiens (Human)	76
O43678	O43678	reviewed	NDUA2_HUMAN	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 2 (Complex I-B8) (CI-B8) (NADH-ubiquinone oxidoreductase B8 subunit)	NDUFA2	Homo sapiens (Human)	99
O43681	O43681	reviewed	GET3_HUMAN	ATPase GET3 (EC 3.6.4.-) (Arsenical pump-driving ATPase) (Arsenite-stimulated ATPase) (Guided entry of tail-anchored proteins factor 3, ATPase) (Transmembrane domain recognition complex 40 kDa ATPase subunit) (hARSA-I) (hASNA-I)	GET3 ARSA ASNA1 TRC40	Homo sapiens (Human)	348
O43683	O43683	reviewed	BUB1_HUMAN	Mitotic checkpoint serine/threonine-protein kinase BUB1 (hBUB1) (EC 2.7.11.1) (BUB1A)	BUB1 BUB1L	Homo sapiens (Human)	1085
O43684	O43684	reviewed	BUB3_HUMAN	Mitotic checkpoint protein BUB3	BUB3	Homo sapiens (Human)	328
O43704	O43704	reviewed	ST1B1_HUMAN	Sulfotransferase 1B1 (ST1B1) (EC 2.8.2.1) (Sulfotransferase 1B2) (Sulfotransferase family cytosolic 1B member 1) (Thyroid hormone sulfotransferase)	SULT1B1 ST1B2 SULT1B2	Homo sapiens (Human)	296
O43708	O43708	reviewed	MAAI_HUMAN	Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18)	GSTZ1 MAAI	Homo sapiens (Human)	216
O43709	O43709	reviewed	BUD23_HUMAN	18S rRNA (guanine-N(7))-methyltransferase (EC 2.1.1.-) (Bud site selection protein 23 homolog) (Metastasis-related methyltransferase 1) (Williams-Beuren syndrome chromosomal region 22 protein) (rRNA methyltransferase and ribosome maturation factor)	BUD23 MERM1 WBSCR22 HUSSY-03 PP3381	Homo sapiens (Human)	281
O43719	O43719	reviewed	HTSF1_HUMAN	17S U2 SnRNP complex component HTATSF1 (HIV Tat-specific factor 1) (Tat-SF1)	HTATSF1	Homo sapiens (Human)	755
O43731	O43731	reviewed	ERD23_HUMAN	ER lumen protein-retaining receptor 3 (KDEL endoplasmic reticulum protein retention receptor 3) (KDEL receptor 3)	KDELR3 ERD23	Homo sapiens (Human)	214
O43741	O43741	reviewed	AAKB2_HUMAN	5'-AMP-activated protein kinase subunit beta-2 (AMPK subunit beta-2)	PRKAB2	Homo sapiens (Human)	272
O43747	O43747	reviewed	AP1G1_HUMAN	AP-1 complex subunit gamma-1 (Adaptor protein complex AP-1 subunit gamma-1) (Adaptor-related protein complex 1 subunit gamma-1) (Clathrin assembly protein complex 1 gamma-1 large chain) (Gamma-adaptin) (Gamma1-adaptin) (Golgi adaptor HA1/AP1 adaptin subunit gamma-1)	AP1G1 ADTG CLAPG1	Homo sapiens (Human)	822
O43752	O43752	reviewed	STX6_HUMAN	Syntaxin-6	STX6	Homo sapiens (Human)	255
O43765	O43765	reviewed	SGTA_HUMAN	Small glutamine-rich tetratricopeptide repeat-containing protein alpha (Alpha-SGT) (Vpu-binding protein) (UBP)	SGTA SGT SGT1	Homo sapiens (Human)	313
O43766	O43766	reviewed	LIAS_HUMAN	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	LIAS LAS HUSSY-01	Homo sapiens (Human)	372
O43768	O43768	reviewed	ENSA_HUMAN	Alpha-endosulfine (ARPP-19e)	ENSA	Homo sapiens (Human)	121
O43772	O43772	reviewed	MCAT_HUMAN	Mitochondrial carnitine/acylcarnitine carrier protein (Carnitine/acylcarnitine translocase) (CAC) (CACT) (Solute carrier family 25 member 20)	SLC25A20 CAC CACT	Homo sapiens (Human)	301
O43776	O43776	reviewed	SYNC_HUMAN	Asparagine--tRNA ligase, cytoplasmic (EC 6.1.1.22) (Asparaginyl-tRNA synthetase) (AsnRS) (Asparaginyl-tRNA synthetase 1)	NARS1 NARS NRS	Homo sapiens (Human)	548
O43791	O43791	reviewed	SPOP_HUMAN	Speckle-type POZ protein (HIB homolog 1) (Roadkill homolog 1)	SPOP	Homo sapiens (Human)	374
O43805	O43805	reviewed	SSNA1_HUMAN	Microtubule nucleation factor SSNA1 (Nuclear autoantigen of 14 kDa) (Sjoegren syndrome nuclear autoantigen 1)	SSNA1 NA14	Homo sapiens (Human)	119
O43808	O43808	reviewed	PM34_HUMAN	Peroxisomal membrane protein PMP34 (34 kDa peroxisomal membrane protein) (Solute carrier family 25 member 17)	SLC25A17 PMP34	Homo sapiens (Human)	307
O43809	O43809	reviewed	CPSF5_HUMAN	Cleavage and polyadenylation specificity factor subunit 5 (Cleavage and polyadenylation specificity factor 25 kDa subunit) (CPSF 25 kDa subunit) (Cleavage factor Im complex 25 kDa subunit) (CFIm25) (Nucleoside diphosphate-linked moiety X motif 21) (Nudix motif 21) (Nudix hydrolase 21) (Pre-mRNA cleavage factor Im 68 kDa subunit)	NUDT21 CFIM25 CPSF25 CPSF5	Homo sapiens (Human)	227
O43815	O43815	reviewed	STRN_HUMAN	Striatin	STRN	Homo sapiens (Human)	780
O43818	O43818	reviewed	U3IP2_HUMAN	U3 small nucleolar RNA-interacting protein 2 (RRP9 homolog) (U3 small nucleolar ribonucleoprotein-associated 55 kDa protein) (U3 snoRNP-associated 55 kDa protein) (U3-55K)	RRP9 RNU3IP2 U355K	Homo sapiens (Human)	475
O43819	O43819	reviewed	SCO2_HUMAN	Cytochrome c oxidase assembly factor SCO2	SCO2	Homo sapiens (Human)	266
O43826	O43826	reviewed	G6PT1_HUMAN	Glucose-6-phosphate exchanger SLC37A4 (Glucose-5-phosphate transporter) (Glucose-6-phosphate translocase) (Solute carrier family 37 member 4) (Transformation-related gene 19 protein) (TRG-19)	SLC37A4 G6PT G6PT1 PRO0685 TRG19	Homo sapiens (Human)	429
O43837	O43837	reviewed	IDH3B_HUMAN	Isocitrate dehydrogenase [NAD] subunit beta, mitochondrial (Isocitric dehydrogenase subunit beta) (NAD(+)-specific ICDH subunit beta)	IDH3B	Homo sapiens (Human)	385
O43865	O43865	reviewed	SAHH2_HUMAN	S-adenosylhomocysteine hydrolase-like protein 1 (DC-expressed AHCY-like molecule) (IP(3)Rs binding protein released with IP(3)) (IRBIT) (Putative adenosylhomocysteinase 2) (S-adenosyl-L-homocysteine hydrolase 2) (AdoHcyase 2)	AHCYL1 DCAL IRBIT XPVKONA	Homo sapiens (Human)	530
O43868	O43868	reviewed	S28A2_HUMAN	Sodium/nucleoside cotransporter 2 (Concentrative nucleoside transporter 2) (CNT 2) (hCNT2) (Na(+)/nucleoside cotransporter 2) (Sodium-coupled nucleoside transporter 2) (Sodium/purine nucleoside co-transporter) (SPNT) (Solute carrier family 28 member 2)	SLC28A2 CNT2	Homo sapiens (Human)	658
O43869	O43869	reviewed	OR2T1_HUMAN	Olfactory receptor 2T1 (Olfactory receptor 1-25) (OR1-25) (Olfactory receptor OR1-61)	OR2T1	Homo sapiens (Human)	369
O43889	O43889	reviewed	CREB3_HUMAN	Cyclic AMP-responsive element-binding protein 3 (CREB-3) (cAMP-responsive element-binding protein 3) (Leucine zipper protein) (Luman) (Transcription factor LZIP-alpha) [Cleaved into: Processed cyclic AMP-responsive element-binding protein 3 (N-terminal Luman) (Transcriptionally active form)]	CREB3 LZIP	Homo sapiens (Human)	371
O43895	O43895	reviewed	XPP2_HUMAN	Xaa-Pro aminopeptidase 2 (EC 3.4.11.9) (Aminoacylproline aminopeptidase) (Membrane-bound aminopeptidase P) (Membrane-bound APP) (Membrane-bound AmP) (mAmP) (X-Pro aminopeptidase 2)	XPNPEP2	Homo sapiens (Human)	674
O43909	O43909	reviewed	EXTL3_HUMAN	Exostosin-like 3 (EC 2.4.1.223) (EXT-related protein 1) (Glucuronyl-galactosyl-proteoglycan 4-alpha-N-acetylglucosaminyltransferase) (Hereditary multiple exostoses gene isolog) (Multiple exostosis-like protein 3) (Putative tumor suppressor protein EXTL3)	EXTL3 EXTL1L EXTR1 KIAA0519	Homo sapiens (Human)	919
O43913	O43913	reviewed	ORC5_HUMAN	Origin recognition complex subunit 5	ORC5 ORC5L	Homo sapiens (Human)	435
